2019-05-31 21:20:57, INFO: Using device: cuda:0
2019-05-31 21:21:04, INFO: Policy: FROZEN 
2019-05-31 21:21:04, INFO: human number: 5
2019-05-31 21:21:04, INFO: Not randomize human's radius and preferred speed
2019-06-01 00:39:05, DEBUG: Average loss on validation set on epoch 23, iter 100000: 7.31E-04
2019-06-01 00:39:05, DEBUG: Average loss on test set on epoch 23, iter 100000: 6.83E-04
2019-06-01 00:46:16, DEBUG: Average loss on validation set on epoch 24, iter 100000: 8.35E-04
2019-06-01 00:46:16, DEBUG: Average loss on test set on epoch 24, iter 100000: 6.78E-04
2019-06-01 00:53:41, DEBUG: Average loss on validation set on epoch 25, iter 100000: 6.59E-04
2019-06-01 00:53:41, DEBUG: Average loss on test set on epoch 25, iter 100000: 6.72E-04
2019-06-01 01:01:10, DEBUG: Average loss on validation set on epoch 26, iter 100000: 6.03E-04
2019-06-01 01:01:10, DEBUG: Average loss on test set on epoch 26, iter 100000: 6.64E-04
2019-06-01 01:09:03, DEBUG: Average loss on validation set on epoch 27, iter 100000: 6.60E-04
2019-06-01 01:09:03, DEBUG: Average loss on test set on epoch 27, iter 100000: 6.59E-04
2019-06-01 01:16:19, DEBUG: Average loss on validation set on epoch 28, iter 100000: 6.02E-04
2019-06-01 01:16:19, DEBUG: Average loss on test set on epoch 28, iter 100000: 6.49E-04
2019-06-01 01:23:33, DEBUG: Average loss on validation set on epoch 29, iter 100000: 6.05E-04
2019-06-01 01:23:33, DEBUG: Average loss on test set on epoch 29, iter 100000: 6.57E-04
2019-06-01 01:30:46, DEBUG: Average loss on validation set on epoch 30, iter 100000: 5.65E-04
2019-06-01 01:30:46, DEBUG: Average loss on test set on epoch 30, iter 100000: 6.36E-04
2019-06-01 01:38:05, DEBUG: Average loss on validation set on epoch 31, iter 100000: 6.38E-04
2019-06-01 01:38:05, DEBUG: Average loss on test set on epoch 31, iter 100000: 6.28E-04
2019-06-01 01:45:52, DEBUG: Average loss on validation set on epoch 32, iter 100000: 7.63E-04
2019-06-01 01:45:52, DEBUG: Average loss on test set on epoch 32, iter 100000: 6.20E-04
2019-06-01 01:53:17, DEBUG: Average loss on validation set on epoch 33, iter 100000: 7.10E-04
2019-06-01 01:53:17, DEBUG: Average loss on test set on epoch 33, iter 100000: 6.19E-04
2019-06-01 02:00:44, DEBUG: Average loss on validation set on epoch 34, iter 100000: 6.31E-04
2019-06-01 02:00:44, DEBUG: Average loss on test set on epoch 34, iter 100000: 6.07E-04
2019-06-01 02:08:10, DEBUG: Average loss on validation set on epoch 35, iter 100000: 6.68E-04
2019-06-01 02:08:10, DEBUG: Average loss on test set on epoch 35, iter 100000: 6.03E-04
2019-06-01 02:15:32, DEBUG: Average loss on validation set on epoch 36, iter 100000: 6.00E-04
2019-06-01 02:15:32, DEBUG: Average loss on test set on epoch 36, iter 100000: 6.01E-04
2019-06-01 02:23:00, DEBUG: Average loss on validation set on epoch 37, iter 100000: 8.76E-04
2019-06-01 02:23:00, DEBUG: Average loss on test set on epoch 37, iter 100000: 5.99E-04
2019-06-01 02:30:22, DEBUG: Average loss on validation set on epoch 38, iter 100000: 8.07E-04
2019-06-01 02:30:22, DEBUG: Average loss on test set on epoch 38, iter 100000: 5.94E-04
2019-06-01 02:37:45, DEBUG: Average loss on validation set on epoch 39, iter 100000: 5.75E-04
2019-06-01 02:37:45, DEBUG: Average loss on test set on epoch 39, iter 100000: 5.94E-04
2019-06-01 02:45:11, DEBUG: Average loss on validation set on epoch 40, iter 100000: 5.86E-04
2019-06-01 02:45:11, DEBUG: Average loss on test set on epoch 40, iter 100000: 5.80E-04
2019-06-01 02:52:27, DEBUG: Average loss on validation set on epoch 41, iter 100000: 6.07E-04
2019-06-01 02:52:27, DEBUG: Average loss on test set on epoch 41, iter 100000: 5.80E-04
2019-06-01 02:59:46, DEBUG: Average loss on validation set on epoch 42, iter 100000: 6.82E-04
2019-06-01 02:59:46, DEBUG: Average loss on test set on epoch 42, iter 100000: 5.76E-04
2019-06-01 03:07:07, DEBUG: Average loss on validation set on epoch 43, iter 100000: 6.52E-04
2019-06-01 03:07:07, DEBUG: Average loss on test set on epoch 43, iter 100000: 5.67E-04
2019-06-01 03:14:28, DEBUG: Average loss on validation set on epoch 44, iter 100000: 5.90E-04
2019-06-01 03:14:28, DEBUG: Average loss on test set on epoch 44, iter 100000: 5.64E-04
2019-06-01 03:21:48, DEBUG: Average loss on validation set on epoch 45, iter 100000: 6.06E-04
2019-06-01 03:21:48, DEBUG: Average loss on test set on epoch 45, iter 100000: 5.65E-04
2019-06-01 03:29:07, DEBUG: Average loss on validation set on epoch 46, iter 100000: 5.69E-04
2019-06-01 03:29:07, DEBUG: Average loss on test set on epoch 46, iter 100000: 5.62E-04
2019-06-01 03:36:28, DEBUG: Average loss on validation set on epoch 47, iter 100000: 6.62E-04
2019-06-01 03:36:28, DEBUG: Average loss on test set on epoch 47, iter 100000: 5.60E-04
2019-06-01 03:43:53, DEBUG: Average loss on validation set on epoch 48, iter 100000: 7.05E-04
2019-06-01 03:43:53, DEBUG: Average loss on test set on epoch 48, iter 100000: 5.48E-04
2019-06-01 03:51:16, DEBUG: Average loss on validation set on epoch 49, iter 100000: 1.01E-03
2019-06-01 03:51:16, DEBUG: Average loss on test set on epoch 49, iter 100000: 5.48E-04
2019-06-01 03:51:16, INFO: Finish imitation learning. Weights saved.
2019-06-01 03:51:16, INFO: Experience train_set size: 100000/100000
2019-06-01 03:51:16, INFO: Experience validation_set size: 367/100000
2019-06-01 03:51:16, INFO: Agent is visible and has holonomic kinematic constraint
2019-06-01 03:51:16, INFO: Current learning rate: 0.001000
2019-06-01 03:51:16, INFO: VAL   in episode 0 has success rate: 1.00, collision rate: 0.00, nav time: 9.80, total reward: 0.6903
2019-06-01 03:51:16, INFO: Frequency of being in danger: 3.92 and average min separate distance in danger: 0.06
