2019-06-01 14:11:14, INFO: Using device: cuda:0
2019-06-01 14:15:04, INFO: Policy: FROZEN 
2019-06-01 14:15:04, INFO: human number: 5
2019-06-01 14:15:04, INFO: Not randomize human's radius and preferred speed
2019-06-01 17:13:34, DEBUG: Average loss on validation set on epoch 25, iter 100000: 1.43E-03
2019-06-01 17:13:34, DEBUG: Average loss on test set on epoch 25, iter 100000: 7.93E-04
2019-06-01 17:20:04, DEBUG: Average loss on validation set on epoch 26, iter 100000: 1.66E-03
2019-06-01 17:20:04, DEBUG: Average loss on test set on epoch 26, iter 100000: 7.78E-04
2019-06-01 17:26:36, DEBUG: Average loss on validation set on epoch 27, iter 100000: 1.18E-03
2019-06-01 17:26:36, DEBUG: Average loss on test set on epoch 27, iter 100000: 7.75E-04
2019-06-01 17:33:07, DEBUG: Average loss on validation set on epoch 28, iter 100000: 1.44E-03
2019-06-01 17:33:07, DEBUG: Average loss on test set on epoch 28, iter 100000: 7.64E-04
2019-06-01 17:39:38, DEBUG: Average loss on validation set on epoch 29, iter 100000: 1.44E-03
2019-06-01 17:39:38, DEBUG: Average loss on test set on epoch 29, iter 100000: 7.50E-04
2019-06-01 17:46:10, DEBUG: Average loss on validation set on epoch 30, iter 100000: 1.77E-03
2019-06-01 17:46:10, DEBUG: Average loss on test set on epoch 30, iter 100000: 7.45E-04
2019-06-01 17:52:44, DEBUG: Average loss on validation set on epoch 31, iter 100000: 1.20E-03
2019-06-01 17:52:44, DEBUG: Average loss on test set on epoch 31, iter 100000: 7.43E-04
2019-06-01 17:59:19, DEBUG: Average loss on validation set on epoch 32, iter 100000: 1.24E-03
2019-06-01 17:59:19, DEBUG: Average loss on test set on epoch 32, iter 100000: 7.28E-04
2019-06-01 18:05:57, DEBUG: Average loss on validation set on epoch 33, iter 100000: 1.21E-03
2019-06-01 18:05:57, DEBUG: Average loss on test set on epoch 33, iter 100000: 7.25E-04
2019-06-01 18:12:33, DEBUG: Average loss on validation set on epoch 34, iter 100000: 1.14E-03
2019-06-01 18:12:33, DEBUG: Average loss on test set on epoch 34, iter 100000: 7.28E-04
2019-06-01 18:19:14, DEBUG: Average loss on validation set on epoch 35, iter 100000: 1.25E-03
2019-06-01 18:19:14, DEBUG: Average loss on test set on epoch 35, iter 100000: 7.21E-04
2019-06-01 18:25:47, DEBUG: Average loss on validation set on epoch 36, iter 100000: 1.16E-03
2019-06-01 18:25:47, DEBUG: Average loss on test set on epoch 36, iter 100000: 7.17E-04
2019-06-01 18:32:22, DEBUG: Average loss on validation set on epoch 37, iter 100000: 1.12E-03
2019-06-01 18:32:22, DEBUG: Average loss on test set on epoch 37, iter 100000: 7.05E-04
2019-06-01 18:38:57, DEBUG: Average loss on validation set on epoch 38, iter 100000: 1.26E-03
2019-06-01 18:38:57, DEBUG: Average loss on test set on epoch 38, iter 100000: 7.01E-04
2019-06-01 18:45:30, DEBUG: Average loss on validation set on epoch 39, iter 100000: 1.40E-03
2019-06-01 18:45:30, DEBUG: Average loss on test set on epoch 39, iter 100000: 6.94E-04
2019-06-01 18:52:05, DEBUG: Average loss on validation set on epoch 40, iter 100000: 1.22E-03
2019-06-01 18:52:05, DEBUG: Average loss on test set on epoch 40, iter 100000: 6.82E-04
2019-06-01 18:58:39, DEBUG: Average loss on validation set on epoch 41, iter 100000: 1.13E-03
2019-06-01 18:58:39, DEBUG: Average loss on test set on epoch 41, iter 100000: 6.76E-04
2019-06-01 19:05:11, DEBUG: Average loss on validation set on epoch 42, iter 100000: 1.08E-03
2019-06-01 19:05:11, DEBUG: Average loss on test set on epoch 42, iter 100000: 6.74E-04
2019-06-01 19:11:48, DEBUG: Average loss on validation set on epoch 43, iter 100000: 1.23E-03
2019-06-01 19:11:48, DEBUG: Average loss on test set on epoch 43, iter 100000: 6.73E-04
2019-06-01 19:18:23, DEBUG: Average loss on validation set on epoch 44, iter 100000: 1.28E-03
2019-06-01 19:18:23, DEBUG: Average loss on test set on epoch 44, iter 100000: 6.67E-04
2019-06-01 19:25:00, DEBUG: Average loss on validation set on epoch 45, iter 100000: 1.26E-03
2019-06-01 19:25:00, DEBUG: Average loss on test set on epoch 45, iter 100000: 6.61E-04
2019-06-01 19:31:39, DEBUG: Average loss on validation set on epoch 46, iter 100000: 1.23E-03
2019-06-01 19:31:39, DEBUG: Average loss on test set on epoch 46, iter 100000: 6.66E-04
2019-06-01 19:38:17, DEBUG: Average loss on validation set on epoch 47, iter 100000: 1.45E-03
2019-06-01 19:38:17, DEBUG: Average loss on test set on epoch 47, iter 100000: 6.50E-04
2019-06-01 19:44:53, DEBUG: Average loss on validation set on epoch 48, iter 100000: 1.61E-03
2019-06-01 19:44:53, DEBUG: Average loss on test set on epoch 48, iter 100000: 6.55E-04
2019-06-01 19:51:31, DEBUG: Average loss on validation set on epoch 49, iter 100000: 1.11E-03
2019-06-01 19:51:31, DEBUG: Average loss on test set on epoch 49, iter 100000: 6.48E-04
2019-06-01 19:51:31, INFO: Finish imitation learning. Weights saved.
2019-06-01 19:51:31, INFO: Experience train_set size: 100000/100000
2019-06-01 19:51:31, INFO: Experience validation_set size: 378/100000
2019-06-01 19:51:31, INFO: Agent is visible and has holonomic kinematic constraint
2019-06-01 19:51:31, INFO: Current learning rate: 0.001000
2019-06-01 19:51:31, INFO: VAL   in episode 0 has success rate: 1.00, collision rate: 0.00, nav time: 10.20, total reward: 0.6905
2019-06-01 19:51:31, INFO: Frequency of being in danger: 2.98 and average min separate distance in danger: 0.07
